Stock;Day;Level
Matière première 4;0;3000
Matière première 4;1;3000
Matière première 4;2;2970
Matière première 4;3;2950
Matière première 4;4;2910
Matière première 4;5;2880
Matière première 4;6;2850
Matière première 4;7;2810
Matière première 4;8;2770
Matière première 4;9;2770
Matière première 4;10;2700
Matière première 4;11;2660
Matière première 4;12;2510
Matière première 4;13;2510
Matière première 4;14;2410
Matière première 4;15;2330
Matière première 4;16;2260
Matière première 4;17;2160
Matière première 4;18;2020
Matière première 4;19;1870
Matière première 4;20;1780
Matière première 4;21;1650
Matière première 4;22;1500
Matière première 4;23;1370
Matière première 4;24;1270
Matière première 4;25;3150
Matière première 4;26;3030
Matière première 4;27;2850
Matière première 4;28;2710
Matière première 4;29;2570
Matière première 4;30;2330
Matière première 4;31;2130
Matière première 4;32;1900
Matière première 4;33;1640
Matière première 4;34;1480
Matière première 4;35;1480
Matière première 4;36;1480
Matière première 4;37;1480
Matière première 4;38;3460
Matière première 4;39;3350
Matière première 4;40;3240
Matière première 4;41;3140
Matière première 4;42;3030
Matière première 4;43;2690
Matière première 4;44;2690
Matière première 4;45;2690
Matière première 4;46;2400
Matière première 4;47;2130
Matière première 4;48;1890
Matière première 4;49;1890
Matière première 4;50;1760
Matière première 4;51;1550
Matière première 4;52;1390
Matière première 4;53;1130
Matière première 4;54;6470
Matière première 4;55;6310
Matière première 4;56;6150
Matière première 4;57;5990
Matière première 4;58;5830
Matière première 4;59;5670
Matière première 4;60;5510
Matière première 4;61;5350
Matière première 4;62;5190
Matière première 4;63;5030
Matière première 4;64;4870
Matière première 4;65;4710
Matière première 4;66;4550
Matière première 4;67;4390
Matière première 4;68;4230
Matière première 4;69;4070
Matière première 4;70;3910
Matière première 4;71;3650
Matière première 4;72;3490
Matière première 4;73;3330
Matière première 4;74;3170
Matière première 4;75;3170
Matière première 4;76;3150
Matière première 4;77;2990
Matière première 4;78;2830
Matière première 4;79;2670
Matière première 4;80;2510
Matière première 4;81;2350
Matière première 4;82;2190
Matière première 4;83;2030
Matière première 4;84;1870
Matière première 4;85;1710
Matière première 4;86;1550
Matière première 4;87;1270
Matière première 4;88;1090
Matière première 4;89;910
Matière première 4;90;6230
Matière première 4;91;6050
Matière première 4;92;5870
Matière première 4;93;5690
Matière première 4;94;5510
Matière première 4;95;5330
Matière première 4;96;5150
Matière première 4;97;4970
Matière première 4;98;4840
Matière première 4;99;4660
Matière première 4;100;4480
Matière première 4;101;4300
Matière première 4;102;4120
Matière première 4;103;3840
Matière première 4;103;3840
Matière première 4;104;3600
Matière première 4;105;3600
Matière première 4;106;3550
Matière première 4;107;3370
Matière première 4;108;3230
Matière première 4;109;3050
Matière première 4;110;2930
Matière première 4;111;2750
Matière première 4;112;2630
Matière première 4;113;2450
Matière première 4;114;2320
Matière première 4;115;2140
Matière première 4;116;2010
Matière première 4;117;1830
Matière première 4;118;1700
Matière première 4;119;1520
Matière première 4;120;1390
Matière première 4;121;1200
Matière première 4;122;1020
Matière première 4;123;6330
Matière première 4;124;6170
Matière première 4;125;5880
Matière première 4;126;5720
Matière première 4;127;5480
Matière première 4;128;5270
Matière première 4;129;5030
Matière première 4;130;4820
Matière première 4;131;4580
Matière première 4;132;4370
Matière première 4;133;4130
Matière première 4;134;3920
Matière première 4;135;3680
Matière première 4;136;3280
Matière première 4;137;3030
Matière première 4;138;2840
Matière première 4;139;2650
Matière première 4;140;2410
Matière première 4;141;2150
Matière première 4;142;1910
Matière première 4;143;1670
Matière première 4;144;1450
Matière première 4;145;1230
Matière première 4;146;990
Matière première 4;147;770
Matière première 4;148;6050
Matière première 4;149;5840
Matière première 4;150;5600
Matière première 4;151;5380
Matière première 4;152;5140
Matière première 4;153;4910
Matière première 4;154;4670
Matière première 4;155;4360
Matière première 4;156;4120
Matière première 4;157;3880
Matière première 4;158;3640
Matière première 4;159;3400
Matière première 4;160;3160
Matière première 4;161;2920
Matière première 4;162;2680
Matière première 4;163;2440
Matière première 4;164;2200
Matière première 4;165;1960
Matière première 4;166;1720
Matière première 4;167;1480
Matière première 4;168;1240
Matière première 4;169;980
Matière première 4;170;700
Matière première 4;171;5910
Matière première 4;172;5610
Matière première 4;173;5230
Matière première 4;174;5030
Matière première 4;175;4730
Matière première 4;176;4450
Matière première 4;177;4140
Matière première 4;178;3800
Matière première 4;179;3480
Matière première 4;180;3170
Matière première 4;181;2890
Matière première 4;182;2590
Matière première 4;183;2270
Matière première 4;184;2010
Matière première 4;185;1680
Matière première 4;186;1370
Matière première 4;187;1070
Matière première 4;188;770
Matière première 4;189;490
Matière première 4;190;170
Matière première 4;191;5500
Matière première 4;192;5080
Matière première 4;193;4820
Matière première 4;194;4520
Matière première 4;195;4220
Matière première 4;196;3920
Matière première 4;197;3620
Matière première 4;198;3320
Matière première 4;199;3030
Matière première 4;200;2740
Matière première 4;201;2440
Matière première 4;202;2130
Matière première 4;203;1860
Matière première 4;204;1540
Matière première 4;205;1140
Matière première 4;206;820
Matière première 3;0;3000
Matière première 3;1;3000
Matière première 3;2;2970
Matière première 3;3;2950
Matière première 3;4;2910
Matière première 3;5;2880
Matière première 3;6;2850
Matière première 3;7;2810
Matière première 3;8;2770
Matière première 3;9;2770
Matière première 3;10;2700
Matière première 3;11;2660
Matière première 3;12;2510
Matière première 3;13;2510
Matière première 3;14;2410
Matière première 3;15;2330
Matière première 3;16;2260
Matière première 3;17;2160
Matière première 3;18;2020
Matière première 3;19;1870
Matière première 3;20;1780
Matière première 3;21;1650
Matière première 3;22;1500
Matière première 3;23;1370
Matière première 3;24;1270
Matière première 3;25;2650
Matière première 3;26;2530
Matière première 3;27;2350
Matière première 3;28;2210
Matière première 3;29;2070
Matière première 3;30;1830
Matière première 3;31;1630
Matière première 3;32;1400
Matière première 3;33;1140
Matière première 3;34;980
Matière première 3;35;980
Matière première 3;36;2480
Matière première 3;37;2480
Matière première 3;38;2460
Matière première 3;39;2350
Matière première 3;40;2240
Matière première 3;41;2140
Matière première 3;42;2030
Matière première 3;43;1690
Matière première 3;44;1690
Matière première 3;45;1690
Matière première 3;46;1400
Matière première 3;47;1130
Matière première 3;48;890
Matière première 3;49;4390
Matière première 3;50;4260
Matière première 3;51;4050
Matière première 3;52;3890
Matière première 3;53;3630
Matière première 3;54;3470
Matière première 3;55;3310
Matière première 3;56;3150
Matière première 3;57;2990
Matière première 3;58;2830
Matière première 3;59;2670
Matière première 3;60;2510
Matière première 3;61;2350
Matière première 3;62;2190
