Contract;Day;Amount
Platinum;0;0
Platinum;1;0
Platinum;2;0
Platinum;3;0
Platinum;4;0
Platinum;5;0
Platinum;6;0
Platinum;7;0
Platinum;8;0
Platinum;9;0
Platinum;10;0
Platinum;11;0
Platinum;12;0
Platinum;13;0
Platinum;14;4148,4375
Platinum;15;0
Platinum;16;0
Platinum;17;0
Platinum;18;0
Platinum;19;0
Platinum;20;0
Platinum;21;0
Platinum;22;0
Platinum;23;0
Platinum;24;0
Platinum;25;0
Platinum;26;0
Platinum;27;0
Platinum;28;0
Platinum;29;0
Platinum;30;0
Platinum;31;0
Platinum;32;0
Platinum;33;0
Premium;0;0
Premium;1;0
Premium;2;0
Premium;3;0
Premium;4;0
Premium;5;0
Premium;6;0
Premium;7;0
Premium;8;0
Premium;9;0
Premium;10;0
Premium;11;0
Premium;12;0
Premium;13;0
Premium;14;0
Premium;15;3750
Premium;16;3750
Premium;17;3750
Premium;18;3750
Premium;19;3750
Premium;20;3750
Premium;21;3750
Premium;22;3750
Premium;23;3750
Premium;24;3750
Premium;25;0
Premium;26;3750
Premium;27;3750
Premium;28;3750
Premium;29;3701,171875
Premium;30;3625,217014
Premium;31;3514,539931
Premium;32;3085,9375
Premium;33;2356,770833
Priority;0;0
Priority;1;0
Priority;2;0
Priority;3;0
Priority;4;0
Priority;5;0
Priority;6;0
Priority;7;3500
Priority;8;3500
Priority;9;0
Priority;10;3500
Priority;11;3500
Priority;12;3500
Priority;13;3500
Priority;14;0
Priority;15;0
Priority;16;0
Priority;17;0
Priority;18;0
Priority;19;0
Priority;20;0
Priority;21;0
Priority;22;0
Priority;23;0
Priority;24;0
Priority;25;3500
Priority;26;0
Priority;27;0
Priority;28;0
Priority;29;0
Priority;30;0
Priority;31;0
Priority;32;0
Priority;33;0
Normal;0;0
Normal;1;0
Normal;2;3000
Normal;3;3000
Normal;4;3000
Normal;5;3000
Normal;6;3000
Normal;7;0
Normal;8;0
Normal;9;0
Normal;10;0
Normal;11;0
Normal;12;0
Normal;13;0
Normal;14;0
Normal;15;0
Normal;16;0
Normal;17;0
Normal;18;0
Normal;19;0
Normal;20;0
Normal;21;0
Normal;22;0
Normal;23;0
Normal;24;0
Normal;25;0
Normal;26;0
Normal;27;0
Normal;28;0
Normal;29;0
Normal;30;0
Normal;31;0
Normal;32;0
Normal;33;0
Unkown;0;0
Unkown;1;0
Unkown;2;0
Unkown;3;0
Unkown;4;0
Unkown;5;0
Unkown;6;0
Unkown;7;0
Unkown;8;0
Unkown;9;0
Unkown;10;0
Unkown;11;0
Unkown;12;0
Unkown;13;0
Unkown;14;0
Unkown;15;0
Unkown;16;0
Unkown;17;0
Unkown;18;0
Unkown;19;0
Unkown;20;0
Unkown;21;0
Unkown;22;0
Unkown;23;0
Unkown;24;0
Unkown;25;0
Unkown;26;0
Unkown;27;0
Unkown;28;0
Unkown;29;0
Unkown;30;0
Unkown;31;0
Unkown;32;0
Unkown;33;0
