Day;Demand
0;0
1;3
2;2
3;4
4;3
5;3
6;4
7;4
8;0
9;7
10;4
11;15
12;0
13;10
14;8
15;7
16;10
17;14
18;15
19;9
20;13
21;15
22;13
23;10
24;12
25;12
26;18
27;14
28;14
29;24
30;20
31;23
32;26
33;16
34;13
35;25
36;23
37;24
38;20
39;27
40;24
41;29
42;34
43;28
44;30
45;29
46;27
47;24
48;30
49;31
50;27
51;38
52;33
53;39
54;38
55;36
56;36
57;34
58;37
59;32
60;39
61;38
62;37
63;37
64;38
65;37
66;40
67;38
68;41
69;36
70;35
71;42
72;44
73;33
74;39
75;41
76;40
77;42
78;37
79;36
80;36
81;35
82;38
83;31
84;43
85;40
86;43
87;37
88;40
89;39
90;42
91;39
92;39
93;32
94;34
95;38
96;32
97;34
98;38
99;38
100;35
101;32
102;43
