,Team,Orders Out,Cash
0,SalsaBaguette,1923,"$922,741.82"
1,Missile Sol-Air,2008,"$568,811.05"
2,Campagn'Arts Sibersssois,1621,"$461,025.71"
3,Solar leaders,1903,"$435,809.80"
4,CookieClickerPGM,2222,"$422,751.26"
5,Photovoltamites,1740,"$394,250.07"
6,Lux,2208,"$362,917.30"
7,Solary,2084,"$358,788.86"
8,LeCercle,1780,"$344,459.56"
9,BRJEUX,1155,"$342,160.04"
10,Équipe__93183,1657,"$268,685.57"
11,pacyma,1991,"$257,438.52"
12,GPTeam,1725,"$240,967.03"
13,Les campagnards,1650,"$203,198.19"
14,La Qualiteam,1888,"$183,836.91"
15,Le dernier rang,1355,"$183,048.70"
16,Les coquelicots,2248,"$176,756.38"
17,Equipe_42,1931,"$147,126.13"
18,ElectroFusion innovation Inc.,1500,"$118,339.39"
19,Solairestp,1968,"$110,690.70"
20,L'OBRG,2194,"$100,403.70"
21,Serious team,1670,"($20,398.90)"
22,groupe13,2193,"($41,087.26)"
23,HomeIsNotAWorkPlace,1894,"($81,813.82)"
24,Saison raclette ouverte,796,"($412,577.98)"
25,Col partners,1160,"($446,524.61)"
26,Harissa,1310,"($497,141.27)"
27,Panelli 2000,1804,"($554,944.07)"
28,CapitaineAbandonné,1289,"($665,145.68)"
29,EHTP,1298,"($917,173.55)"
30,Max Verstappen,1324,"($928,875.24)"
31,Les 4 fantastiques,1751,"($929,924.48)"
32,The_team,2041,"($958,199.73)"
33,CACIB LargeCap Industry,1869,"($983,455.37)"
34,Emily Franquiel,1324,"($1,026,120.85)"
35,Châlon’s Limited,1239,"($1,069,600.60)"
36,BR Électricité,1324,"($1,087,136.23)"
37,DinoCo,1652,"($1,097,431.21)"
38,Les Clunsois,1266,"($1,137,475.47)"
39,team11,1302,"($1,145,686.29)"
40,Les fifrelins,1796,"($1,192,075.43)"
41,Le Renard,1309,"($1,233,225.67)"
42,Solar1200,1855,"($1,238,541.83)"
43,Nuclear > Solar,1783,"($1,281,672.23)"
44,Erasmus,1480,"($1,402,722.70)"
45,ça zinzinule,1884,"($1,408,495.92)"
46,Solar Cover,1316,"($1,417,240.36)"
47,Les Backstreet Boyz,1814,"($1,495,889.59)"
48,Cocorico,1662,"($1,498,205.07)"
49,PPM CORP. AND ASSOCIATES,1432,"($1,530,947.38)"
50,Solar Team,1288,"($1,538,777.67)"
51,PoêleWater,1566,"($1,575,268.51)"
52,xX_K1ll3rC4rd1_Xx,1296,"($1,606,164.78)"
53,Factorylearn,1308,"($1,636,480.16)"
54,AL-Suppliers,1661,"($1,653,092.91)"
55,ANTIBE,1814,"($1,720,449.41)"
56,Les foufous2,1737,"($1,739,878.27)"
57,27kiπne,1640,"($1,801,314.02)"
58,151160,1682,"($1,874,536.57)"
59,L'Horizon,1324,"($2,162,099.87)"
60,TEAM257778126,1324,"($2,203,118.34)"
61,D’or et de platine,1324,"($2,416,099.94)"
62,équipe sans action,1324,"($2,416,099.94)"
63,Les foufous,1324,"($2,416,099.94)"
64,Chad Industries,1324,"($2,416,099.94)"
65,Vivrela,1324,"($2,416,099.95)"
66,Pucela,1324,"($2,416,099.96)"
67,HPC 220,1267,"($2,497,439.32)"
68,Equipe 7,1746,"($2,548,313.94)"
69,Nom d’équipe,1324,"($2,572,600.31)"
70,Ninte,1680,"($2,614,888.19)"
71,J&TS,1324,"($2,737,100.46)"
72,Palanca,1324,"($2,812,600.13)"
73,solo factory,1324,"($2,859,592.13)"
74,A&C,1507,"($3,296,376.15)"
75,décUV,1667,"($3,456,974.23)"
76,GADZ CREDA,1389,"($3,655,366.51)"
