,Team,Orders Out,Cash
0,SalsaBaguette,2861,"$1,791,813.18"
1,Photovoltamites,2665,"$1,351,999.71"
2,Lux,3499,"$1,159,166.72"
3,groupe13,3558,"$1,141,349.82"
4,Les coquelicots,3638,"$1,008,034.36"
5,La Qualiteam,3110,"$899,724.41"
6,Solary,3220,"$802,163.16"
7,HomeIsNotAWorkPlace,2950,"$785,685.55"
8,Les campagnards,2476,"$768,897.74"
9,Equipe_42,3195,"$754,572.03"
10,Serious team,2682,"$730,412.83"
11,BRJEUX,1818,"$669,847.11"
12,ElectroFusion innovation Inc.,2473,"$600,888.37"
13,GPTeam,2586,"$520,716.63"
14,LeCercle,2751,"$486,709.14"
15,The_team,3427,"$372,361.84"
16,CapitaineAbandonné,1782,"$301,478.51"
17,Solar leaders,3091,"$293,809.33"
18,Campagn'Arts Sibersssois,2460,"$284,625.14"
19,Équipe__93183,2570,"$279,435.14"
20,CACIB LargeCap Industry,3129,"$223,345.73"
21,Panelli 2000,2596,"$212,555.46"
22,pacyma,3067,"$197,583.93"
23,CookieClickerPGM,3145,"$170,375.69"
24,Le dernier rang,2138,"$154,138.25"
25,Solairestp,3246,"$146,590.11"
26,EHTP,1808,"$137,779.01"
27,Missile Sol-Air,2819,"$25,060.80"
28,Les 4 fantastiques,2493,"($107,240.00)"
29,Harissa,1838,"($128,741.45)"
30,L'OBRG,3538,"($183,042.08)"
31,Châlon’s Limited,1630,"($200,588.33)"
32,Le Renard,1834,"($214,888.47)"
33,Saison raclette ouverte,1222,"($237,578.37)"
34,Les Clunsois,1764,"($284,348.60)"
35,Solar1200,2619,"($288,104.76)"
36,Cocorico,2307,"($363,055.39)"
37,Max Verstappen,1852,"($363,644.71)"
38,Col partners,1500,"($403,657.66)"
39,Nuclear > Solar,2499,"($479,672.75)"
40,Les fifrelins,2588,"($566,075.77)"
41,Les foufous2,2354,"($654,754.04)"
42,DinoCo,2315,"($659,994.26)"
43,team11,1776,"($715,957.34)"
44,Emily Franquiel,1852,"($727,821.22)"
45,Solar Cover,1844,"($731,834.71)"
46,BR Électricité,1852,"($841,747.06)"
47,PPM CORP. AND ASSOCIATES,2132,"($843,948.54)"
48,ça zinzinule,2555,"($933,246.26)"
49,Les Backstreet Boyz,2601,"($964,640.21)"
50,PoêleWater,2007,"($1,009,456.41)"
51,ANTIBE,2606,"($1,043,616.69)"
52,Solar Team,1695,"($1,217,078.17)"
53,xX_K1ll3rC4rd1_Xx,1759,"($1,232,227.81)"
54,151160,2386,"($1,255,536.98)"
55,27kiπne,2251,"($1,349,290.80)"
56,Erasmus,1523,"($1,408,863.37)"
57,Factorylearn,1709,"($1,504,980.51)"
58,HPC 220,1782,"($1,632,939.83)"
59,AL-Suppliers,2365,"($1,641,093.51)"
60,Equipe 7,2522,"($1,921,960.32)"
61,Ninte,2421,"($2,115,888.52)"
62,Pucela,1778,"($2,266,100.57)"
63,A&C,2138,"($2,287,126.51)"
64,décUV,2298,"($2,289,912.20)"
65,Palanca,1737,"($2,347,913.68)"
66,Vivrela,1782,"($2,455,100.48)"
67,GADZ CREDA,2408,"($2,652,054.80)"
68,Nom d’équipe,1852,"($2,777,601.12)"
69,J&TS,1852,"($3,013,101.30)"
70,TEAM257778126,1852,"($3,282,025.05)"
71,D’or et de platine,1852,"($3,739,100.28)"
72,Chad Industries,1852,"($3,739,100.28)"
73,équipe sans action,1852,"($3,739,100.28)"
74,Les foufous,1852,"($3,739,100.28)"
75,solo factory,1852,"($4,182,592.47)"
76,L'Horizon,1852,"($4,433,090.23)"
