Day;Cash
0;500000
1;499999,980409
2;508999,960818
3;514999,941423
4;526999,922159
5;535999,903156
6;544999,884348
7;558999,865737
8;572999,847387
9;572999,829298
10;597499,811209
11;611499,793577
12;639499,776206
13;663999,759815
14;697187,243424
15;731812,227686
16;758062,212471
17;788062,197712
18;825562,183607
19;870562,170415
20;915562,158204
21;960562,14658
22;1005562,135805
23;1050562,126009
24;1095562,117063
25;1139812,108769
26;1064562,09867
27;1109562,089354
28;754562,081214
29;798976,136488
30;842478,734342
31;884653,208764
32;588684,447895
33;266965,688527
34;635897,972524
35;250702,653399
36;257577,646774
37;192397,950961
38;216761,223897
39;-143301,292618
40;-130039,589665
41;-111020,073493
42;-79051,337918
43;342393,960875
44;368112,699388
45;51112,687902
46;111112,676415
47;182612,666823
48;256112,658993
49;329612,652731
50;226612,642528
51;282612,633173
52;338612,625191
53;-118387,393232
54;-62387,409956
55;-117887,428112
56;-61887,445224
57;-5887,461291
58;50112,523687
59;106112,50971
60;162112,496778
61;218112,48489
62;-27387,532708
63;28612,450739
64;84612,435231
65;140612,420767
66;196612,407349
67;252612,394975
68;308612,383646
69;153112,368633
70;209112,354665
71;88612,337801
72;144612,322635
73;200612,308514
74;256612,295437
75;-63887,725039
76;-7887,745514
77;48112,23414
78;104112,21484
79;160112,196584
80;216112,179373
81;272612,163208
82;332612,148087
83;392612,13401
84;452612,120979
85;112612,108993
86;180112,098051
87;247612,088154
88;315112,080086
89;381934,98986
90;448757,900809
91;404080,810457
92;-187096,29347
93;-120273,396221
94;-279950,502863
95;-213127,608329
96;-146304,71262
97;-79481,815736
98;-12658,917676
99;54163,981233
100;121663,96465
101;189163,949243
102;256663,935012
103;323913,921955
103;323913,910728
104;365913,8995
