,Team,Orders Out,Cash
0,SalsaBaguette,1256,"$501,340.09"
1,Photovoltamites,1172,"$487,828.44"
2,Solar leaders,1177,"$408,302.37"
3,LeCercle,1187,"$392,186.44"
4,Serious team,1119,"$315,112.07"
5,groupe13,1324,"$313,163.00"
6,La Qualiteam,1156,"$269,636.81"
7,Lux,1355,"$265,967.68"
8,The_team,1270,"$243,644.56"
9,Le dernier rang,898,"$240,396.54"
10,Équipe__93183,1107,"$224,185.95"
11,ElectroFusion innovation Inc.,1007,"$202,792.86"
12,Les campagnards,1200,"$184,998.44"
13,Les coquelicots,1420,"$163,407.84"
14,CookieClickerPGM,1445,"$146,428.76"
15,HomeIsNotAWorkPlace,1190,"$69,436.52"
16,BRJEUX,937,"$63,285.43"
17,L'OBRG,1377,"$41,247.72"
18,Solary,1322,"($25,133.60)"
19,Equipe_42,1162,"($49,680.13)"
20,Missile Sol-Air,1310,"($90,501.15)"
21,Solairestp,1219,"($142,191.69)"
22,GPTeam,1169,"($173,905.03)"
23,Campagn'Arts Sibersssois,1130,"($209,423.83)"
24,pacyma,1257,"($354,506.36)"
25,CapitaineAbandonné,907,"($428,900.10)"
26,EHTP,916,"($564,173.01)"
27,Saison raclette ouverte,494,"($649,265.20)"
28,Col partners,892,"($797,743.15)"
29,Panelli 2000,1220,"($986,943.72)"
30,CACIB LargeCap Industry,1057,"($1,104,115.93)"
31,Les 4 fantastiques,1191,"($1,261,549.14)"
32,Emily Franquiel,932,"($1,295,974.71)"
33,Harissa,932,"($1,384,390.80)"
34,DinoCo,1164,"($1,472,118.30)"
35,Cocorico,1158,"($1,572,891.74)"
36,Châlon’s Limited,916,"($1,635,974.96)"
37,Les Clunsois,920,"($1,688,974.76)"
38,Les fifrelins,1259,"($1,694,137.60)"
39,Max Verstappen,932,"($1,695,974.85)"
40,Le Renard,932,"($1,695,974.97)"
41,Les Backstreet Boyz,1227,"($1,711,139.14)"
42,Solar1200,1270,"($1,725,687.24)"
43,Chad Industries,920,"($1,736,974.67)"
44,L'Horizon,920,"($1,736,974.67)"
45,Vivrela,932,"($1,736,974.67)"
46,Factorylearn,932,"($1,736,974.67)"
47,équipe sans action,932,"($1,736,974.67)"
48,Pucela,932,"($1,736,974.67)"
49,D’or et de platine,932,"($1,736,974.67)"
50,Les foufous,932,"($1,736,974.67)"
51,Erasmus,1077,"($1,747,175.42)"
52,team11,932,"($1,754,685.81)"
53,BR Électricité,920,"($1,782,135.74)"
54,Solar Cover,932,"($1,920,114.58)"
55,Palanca,932,"($1,959,974.64)"
56,solo factory,920,"($2,010,685.61)"
57,Solar Team,932,"($2,082,277.08)"
58,J&TS,932,"($2,171,974.79)"
59,A&C,990,"($2,185,375.73)"
60,Nom d’équipe,932,"($2,222,474.73)"
61,PPM CORP. AND ASSOCIATES,1035,"($2,319,196.27)"
62,Les foufous2,1272,"($2,331,786.45)"
63,PoêleWater,1181,"($2,339,705.53)"
64,xX_K1ll3rC4rd1_Xx,932,"($2,382,164.12)"
65,151160,1178,"($2,383,286.14)"
66,ça zinzinule,1297,"($2,442,745.59)"
67,TEAM257778126,932,"($2,445,867.90)"
68,ANTIBE,1228,"($2,449,014.03)"
69,AL-Suppliers,1181,"($2,471,342.45)"
70,Nuclear > Solar,1280,"($2,553,296.72)"
71,27kiπne,1132,"($2,756,813.55)"
72,HPC 220,896,"($2,812,188.56)"
73,Equipe 7,1211,"($3,120,146.70)"
74,Ninte,1169,"($3,669,200.02)"
75,décUV,1165,"($3,708,911.02)"
76,GADZ CREDA,774,"($4,099,303.17)"
